projectid,projeto,cliente,bu,pm,fase,especialidade,ano,mes,horas_orcadas,horas_reais,variancia_horas,status_horas,data_referencia
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Proposta,Gestão,2024,3,142,120,-22,Dentro Orcado,2024-03-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Planejamento,Gestão,2024,4,60,55,-5,Dentro Orcado,2024-04-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Engenharia,Gestão,2024,5,134,133,-1,Dentro Orcado,2024-05-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Software,Software,2024,6,126,132,6,Acima Orcado,2024-06-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Hardware,Hardware,2024,6,171,0,-171,Dentro Orcado,2024-06-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Instalação,Instalação,2024,6,50,0,-50,Dentro Orcado,2024-06-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Testes,Testes,2024,7,130,0,-130,Dentro Orcado,2024-07-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Startup,Gestão,2024,9,191,0,-191,Dentro Orcado,2024-09-01
PRJ-2001,Projeto 1,Gamma Energy,Automotive,Marcos Pereira,Entrega,Gestão,2024,10,102,0,-102,Dentro Orcado,2024-10-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Proposta,Gestão,2024,1,126,111,-15,Dentro Orcado,2024-01-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Planejamento,Gestão,2024,3,138,118,-20,Dentro Orcado,2024-03-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Engenharia,Gestão,2024,3,60,55,-5,Dentro Orcado,2024-03-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Software,Software,2024,5,200,209,9,Acima Orcado,2024-05-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Hardware,Hardware,2024,7,143,0,-143,Dentro Orcado,2024-07-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Instalação,Instalação,2024,7,134,0,-134,Dentro Orcado,2024-07-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Testes,Testes,2024,8,79,0,-79,Dentro Orcado,2024-08-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Startup,Gestão,2024,9,128,0,-128,Dentro Orcado,2024-09-01
PRJ-2002,Projeto 2,Delta Automotive,Automação,Fernando Alves,Entrega,Gestão,2024,10,95,0,-95,Dentro Orcado,2024-10-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Proposta,Gestão,2024,3,129,128,-1,Dentro Orcado,2024-03-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Planejamento,Gestão,2024,2,52,52,0,Dentro Orcado,2024-02-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Engenharia,Gestão,2024,4,191,192,1,Acima Orcado,2024-04-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Software,Software,2024,5,109,93,-16,Dentro Orcado,2024-05-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Hardware,Hardware,2024,5,166,0,-166,Dentro Orcado,2024-05-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Instalação,Instalação,2024,8,129,0,-129,Dentro Orcado,2024-08-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Testes,Testes,2024,7,173,0,-173,Dentro Orcado,2024-07-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Startup,Gestão,2024,10,188,0,-188,Dentro Orcado,2024-10-01
PRJ-2003,Projeto 3,Delta Automotive,Automação,Ana Souza,Entrega,Gestão,2024,10,53,0,-53,Dentro Orcado,2024-10-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Proposta,Gestão,2024,2,173,156,-17,Dentro Orcado,2024-02-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Planejamento,Gestão,2024,2,167,180,13,Acima Orcado,2024-02-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Engenharia,Gestão,2024,5,105,123,18,Acima Orcado,2024-05-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Software,Software,2024,4,172,202,30,Acima Orcado,2024-04-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Hardware,Hardware,2024,5,153,137,-16,Dentro Orcado,2024-05-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Instalação,Instalação,2024,7,171,186,15,Acima Orcado,2024-07-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Testes,Testes,2024,8,81,80,-1,Dentro Orcado,2024-08-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Startup,Gestão,2024,10,172,157,-15,Dentro Orcado,2024-10-01
PRJ-2004,Projeto 4,Alfa Industria,Automotive,Ricardo Lima,Entrega,Gestão,2024,10,88,92,4,Acima Orcado,2024-10-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Proposta,Gestão,2024,1,100,117,17,Acima Orcado,2024-01-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Planejamento,Gestão,2024,4,58,63,5,Acima Orcado,2024-04-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Engenharia,Gestão,2024,5,135,133,-2,Dentro Orcado,2024-05-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Software,Software,2024,6,149,136,-13,Dentro Orcado,2024-06-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Hardware,Hardware,2024,5,121,131,10,Acima Orcado,2024-05-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Instalação,Instalação,2024,8,110,119,9,Acima Orcado,2024-08-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Testes,Testes,2024,9,184,211,27,Acima Orcado,2024-09-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Startup,Gestão,2024,9,64,58,-6,Dentro Orcado,2024-09-01
PRJ-2005,Projeto 5,Alfa Industria,Industrial,Carlos Silva,Entrega,Gestão,2024,9,179,172,-7,Dentro Orcado,2024-09-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Proposta,Gestão,2024,3,93,0,-93,Dentro Orcado,2024-03-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Planejamento,Gestão,2024,4,104,0,-104,Dentro Orcado,2024-04-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Engenharia,Gestão,2024,3,143,0,-143,Dentro Orcado,2024-03-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Software,Software,2024,6,172,0,-172,Dentro Orcado,2024-06-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Hardware,Hardware,2024,5,78,0,-78,Dentro Orcado,2024-05-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Instalação,Instalação,2024,7,127,0,-127,Dentro Orcado,2024-07-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Testes,Testes,2024,9,186,0,-186,Dentro Orcado,2024-09-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Startup,Gestão,2024,8,53,0,-53,Dentro Orcado,2024-08-01
PRJ-2006,Projeto 6,Alfa Industria,Industrial,Carlos Silva,Entrega,Gestão,2024,9,66,0,-66,Dentro Orcado,2024-09-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Proposta,Gestão,2024,2,196,180,-16,Dentro Orcado,2024-02-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Planejamento,Gestão,2024,3,64,69,5,Acima Orcado,2024-03-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Engenharia,Gestão,2024,5,77,89,12,Acima Orcado,2024-05-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Software,Software,2024,4,79,90,11,Acima Orcado,2024-04-01
PRJ-2007,Projeto 7,Gamma Energy,Energia,Fernando Alves,Hardware,Hardware,2024,6,128,141,13,Acima Orcado,2024-06-01
